seed,request_rate,policy,num_requests,slo_attainment,average_latency,p95_latency,average_batch_size
6810,0.26,FCFS,260,0.7730769230769231,3.1564685849948466,9.052718651896726,1.5076923076923077
6810,0.26,SLO-aware-SA,260,0.8038461538461539,3.075955812800944,8.647746715215249,1.2384615384615385
6810,0.32,FCFS,260,0.6576923076923077,3.6461147020951055,8.833336230658915,1.7538461538461538
6810,0.32,SLO-aware-SA,260,0.7230769230769231,3.1893835499964567,7.99953002022221,1.3923076923076922
6810,0.38,FCFS,260,0.55,4.834348867875027,10.800228514551264,2.276923076923077
6810,0.38,SLO-aware-SA,260,0.5923076923076923,4.476465997719414,10.830046644593367,1.8615384615384616
6810,0.44,FCFS,260,0.5884615384615385,3.6941270794387457,9.241123960929087,1.9076923076923078
6810,0.44,SLO-aware-SA,260,0.6615384615384615,3.5449561142342274,9.251984896048612,1.6
6810,0.5,FCFS,260,0.55,4.7932576683984465,11.446828637347437,2.6076923076923078
6810,0.5,SLO-aware-SA,260,0.6461538461538462,3.9855474634152364,10.500909321733992,1.8153846153846154
